,Random,Random,Random,Random,Random,Random,Defeat,Defeat,Defeat,Defeat,Defeat,Defeat,Minscore,Minscore,Minscore,Minscore,Minscore,Minscore,Mindist,Mindist,Mindist,Mindist,Mindist,Mindist,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp
,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp
48,-20,-20,20,-40,-20,-80,20,0,-80,-80,-80,-80,40,80,-45,19,12,-9,20,64,4,-76,-76,-76,40,80,-68,-17,-66,-66,64,80,-80,19,-71,-71
49,-20,-20,-20,-20,-40,-20,20,0,-80,-80,-80,-80,-20,-20,-20,-20,-20,-20,20,80,55,72,7,-70,20,80,48,-18,47,-64,20,80,51,72,-69,-70
50,40,-40,20,-40,-20,-20,40,0,-80,-80,-80,-80,20,80,56,56,-5,-5,-20,77,56,56,-25,-25,20,80,56,56,-20,-20,40,80,56,56,-30,-30
51,-40,-40,20,-20,-40,-40,40,0,20,-80,-80,-80,-20,80,20,41,-36,-36,40,80,20,57,2,-9,40,80,20,57,40,63,20,80,20,57,40,42
52,-20,-20,-20,-40,-40,-40,20,0,-80,-80,-80,-80,-20,80,53,72,53,59,40,80,-72,35,-72,-72,80,80,-40,72,-59,8,40,80,47,35,-66,-70
53,40,-40,20,-40,-40,-20,40,0,20,-80,-80,-80,-20,80,20,80,80,-2,80,80,20,80,-13,80,20,80,20,80,80,80,40,80,20,80,29,79
54,-40,-40,-42,-20,-20,-40,40,0,20,-80,-80,-80,61,-20,-20,-20,-20,-20,40,80,20,22,3,3,72,80,20,22,25,23,20,80,20,2,5,5
55,-40,-40,-20,-20,-20,-40,40,0,20,-80,-80,-80,80,-20,-20,-20,-20,-20,40,80,20,-80,-80,80,40,80,20,-69,-69,-69,20,80,20,-69,-69,-69
56,40,-40,20,-40,-40,20,40,0,-80,-80,-80,-80,40,-20,-20,-20,-20,-20,20,80,-66,-10,-10,-71,80,80,-39,-2,-16,-78,40,80,-17,-19,-19,-78
57,-20,-20,20,-20,-20,-40,20,0,-80,-80,-80,-80,-20,-20,-20,-20,-20,-20,20,80,-19,-80,46,10,20,80,-62,-67,23,10,20,80,2,-80,3,10
