Winner,Player1,Player2,Init.Score1,Init.Score2,Final.Score1,Final.Score2
0,MindistScore,Random,80,75,0,68
0,MindistScore,Random,80,18,0,80
0,MindistScore,Random,80,62,0,21
0,MindistScore,Random,80,80,0,76
0,MindistScore,Random,80,80,0,37
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,68,80,0,80
0,MindistScore,Random,56,80,0,80
0,MindistScore,Random,80,35,0,32
0,MindistScore,Random,80,68,0,80
0,MindistScore,Random,46,80,0,76
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,75,0,38
0,MindistScore,Random,24,37,0,25
0,MindistScore,Random,70,80,0,80
0,MindistScore,Random,80,43,0,59
0,MindistScore,Random,80,72,0,80
0,MindistScore,Random,76,73,0,80
0,MindistScore,Random,80,47,0,80
0,MindistScore,Random,80,35,0,71
0,MindistScore,Random,80,80,0,78
0,MindistScore,Random,80,47,0,36
0,MindistScore,Random,80,45,0,80
0,MindistScore,Random,80,73,0,79
0,MindistScore,Random,16,80,0,80
0,MindistScore,Random,68,26,0,80
0,MindistScore,Random,80,36,0,23
0,MindistScore,Random,80,74,0,80
0,MindistScore,Random,49,45,0,22
0,MindistScore,Random,80,13,0,21
0,MindistScore,Random,74,80,0,67
0,MindistScore,Random,44,26,0,80
0,MindistScore,Random,80,62,0,20
0,MindistScore,Random,80,68,0,80
0,MindistScore,Random,80,79,0,79
0,MindistScore,Random,31,80,0,80
0,MindistScore,Random,72,80,0,80
0,MindistScore,Random,80,65,0,80
0,MindistScore,Random,39,26,0,21
0,MindistScore,Random,48,49,0,45
0,MindistScore,Random,80,23,0,41
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,77,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,75,80,0,80
0,MindistScore,Random,77,49,0,79
0,MindistScore,Random,73,14,0,50
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,80,0,43
0,MindistScore,Random,71,55,0,80
0,MindistScore,Random,32,19,0,43
0,MindistScore,Random,52,78,0,40
0,MindistScore,Random,80,80,0,36
0,MindistScore,Random,79,80,0,80
0,MindistScore,Random,66,77,0,80
0,MindistScore,Random,33,46,0,12
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,50,80,0,80
0,MindistScore,Random,80,23,0,25
0,MindistScore,Random,49,63,0,17
0,MindistScore,Random,63,80,0,80
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,26,80,0,80
0,MindistScore,Random,36,23,0,57
0,MindistScore,Random,29,48,0,80
0,MindistScore,Random,80,74,0,63
0,MindistScore,Random,30,70,0,80
0,MindistScore,Random,21,66,0,73
0,MindistScore,Random,79,80,0,80
0,MindistScore,Random,28,80,0,79
0,MindistScore,Random,52,77,0,80
0,MindistScore,Random,32,12,0,80
0,MindistScore,Random,69,68,0,78
0,MindistScore,Random,66,80,0,80
0,MindistScore,Random,72,80,0,80
0,MindistScore,Random,73,55,0,53
0,MindistScore,Random,44,80,0,32
0,MindistScore,Random,80,79,0,80
0,MindistScore,Random,44,49,0,80
0,MindistScore,Random,80,75,0,36
0,MindistScore,Random,47,80,0,80
0,MindistScore,Random,40,51,0,43
0,MindistScore,Random,72,80,0,72
0,MindistScore,Random,20,59,0,65
0,MindistScore,Random,42,80,0,80
0,MindistScore,Random,49,75,0,80
0,MindistScore,Random,76,80,0,80
0,MindistScore,Random,36,80,0,80
0,MindistScore,Random,27,80,0,80
0,MindistScore,Random,79,80,0,14
0,MindistScore,Random,80,75,0,80
0,MindistScore,Random,80,56,0,60
0,MindistScore,Random,80,71,0,80
0,MindistScore,Random,7,48,0,80
0,MindistScore,Random,80,26,0,33
0,MindistScore,Random,45,40,0,41
0,MindistScore,Random,24,66,0,72
0,MindistScore,Random,80,80,0,75
0,MindistScore,Random,48,73,0,58
0,MindistScore,Random,75,80,0,80
0,MindistScore,Random,80,29,0,49
0,MindistScore,Random,80,80,0,68
0,MindistScore,Random,80,29,0,22
0,MindistScore,Random,80,75,0,10
0,MindistScore,Random,72,80,0,80
0,MindistScore,Random,80,80,0,53
0,MindistScore,Random,17,72,0,69
0,MindistScore,Random,29,58,0,79
0,MindistScore,Random,73,80,0,80
0,MindistScore,Random,80,80,0,64
0,MindistScore,Random,49,76,0,73
0,MindistScore,Random,80,80,0,80
0,MindistScore,Random,80,76,0,80
