init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
2 4 3 33 11 48 1 20 15 52 6 41 39,33 52 25 45 38 27 0 18 8 50 47 9 28,12,10,0,1,14,41 39 40 3 4 2 1 52 6 19 26 15 41,27 28 26 52 44 45 47 25 33 20 8 38 9,1,2,1
45 50 42 16 39 11 5 33 12 2 39 3 21,17 12 15 26 28 46 26 32 45 47 4 35 43,17,80,0,1,6,45 50 42 16 39 11 5 33 12 2 39 3 21,46 45 47 17 12 4 43 52 26 32 35 43 34,1,3,0
9 40 52 16 33 29 4 37 30 21 7 32 25,16 40 12 23 0 34 1 52 30 24 9 26 51,13,41,0,1,5,33 32 34 9 52 7 40 16 29 4 30 30 37,12 0 1 52 51 50 26 16 18 23 24 25 22,2,2,0
33 45 29 48 24 18 14 24 38 51 2 26 16,30 44 42 10 40 20 17 36 35 6 25 21 42,9,45,0,1,20,48 52 26 26 0 14 14 2 29 16 42 18 31,42 40 41 20 21 19 22 30 17 10 36 23 35,2,0,2
33 35 16 23 52 0 22 25 49 43 18 11 32,47 6 19 30 36 13 51 2 1 24 5 31 3,13,0,21,0,7,23 22 25 24 52 33 32 35 36 0 18 44 5,2 1 3 51 50 49 13 6 19 27 30 43 30,1,2,1
0 26 45 3 6 34 17 16 3 42 7 36 4,24 46 48 14 0 20 28 8 21 52 28 1 22,9,2,0,1,12,6 7 8 26 27 28 3 16 42 17 4 9 0,20 21 19 22 24 48 52 35 46 22 1 0 3,1,3,0
43 52 26 12 33 32 0 4 4 20 12 47 18,17 42 40 11 37 44 36 50 29 30 0 2 51,26,3,0,1,20,4 6 5 52 32 33 26 43 4 29 0 3 14,40 42 41 0 15 17 18 1 27 40 39 29 30,1,2,1
22 12 24 22 50 27 42 35 40 16 51 3 5,42 45 34 32 41 18 26 30 11 13 38 15 45,4,80,0,1,17,22 12 24 22 50 27 42 35 40 16 51 3 5,32 34 33 41 42 43 44 30 15 41 26 13 52,2,0,2
13 48 32 37 47 31 2 17 49 51 7 33 45,27 52 12 30 15 14 23 50 24 28 11 18 6,21,22,0,1,18,32 31 33 48 47 49 51 13 39 1 2 29 17,27 28 26 52 15 14 25 50 24 11 40 41 52,1,2,1
43 7 36 45 15 20 12 30 16 44 9 25 4,6 14 13 41 34 41 18 11 49 33 21 10 3,46,4,0,1,8,43 45 44 7 36 34 20 30 4 12 25 38 15,11 10 12 14 13 25 33 18 44 3 5 4 20,3,0,1
4 30 37 45 19 1 5 5 26 2 8 4 7,49 9 42 39 36 40 17 43 10 12 25 37 10,16,60,0,1,22,52 26 13 1 2 15 4 30 4 17 5 5 44,9 10 8 11 42 27 28 49 36 10 12 0 42,1,2,1
35 39 11 20 18 17 22 52 17 20 50 15 15,21 0 36 12 4 26 37 18 48 28 25 14 42,48,0,61,0,9,20 22 21 35 18 20 11 50 37 17 15 16 52,48 0 26 14 40 28 42 42 4 18 5 5 21,2,1,1
21 46 32 13 37 24 12 14 44 16 20 33 27,34 15 18 12 42 29 35 51 27 41 24 46 28,50,0,2,0,10,14 16 15 13 37 30 32 44 46 45 24 27 14,34 35 32 33 27 24 38 28 29 41 42 43 0,2,1,1
9 50 49 17 45 26 14 40 0 30 28 10 46,31 46 36 49 43 7 21 51 48 16 15 32 0,23,0,27,0,10,39 40 51 45 46 44 49 17 30 26 28 10 38,49 51 48 50 31 36 32 0 15 41 16 43 4,2,1,1
51 38 33 30 34 21 51 49 17 46 16 1 36,0 20 12 28 24 36 42 6 10 7 6 50 16,4,4,0,1,15,33 34 32 35 51 30 49 48 38 51 17 39 26,12 10 11 6 7 8 42 44 43 45 0 2 1,4,0,0
19 52 51 4 0 51 44 44 8 15 37 39 45,50 1 36 47 31 11 37 23 40 17 38 11 41,26,11,0,1,17,44 45 46 52 0 51 17 19 39 15 16 29 4,36 37 38 26 31 32 41 2 28 1 40 27 14,1,1,2
26 32 1 4 14 3 51 50 27 34 12 8 24,18 44 0 2 35 51 32 19 45 34 17 2 42,41,35,0,1,11,51 50 49 26 26 1 14 27 27 40 3 29 4,18 19 17 2 35 34 37 44 45 46 42 2 43,2,2,0
33 52 48 7 44 7 23 37 25 36 24 5 20,8 40 32 18 29 40 14 11 16 9 34 15 10,42,3,0,1,10,23 25 24 52 37 36 33 7 20 44 5 18 1,11 9 10 8 7 29 14 16 15 25 32 34 33,2,2,0
51 18 30 41 38 2 24 44 9 50 23 8 3,31 25 25 8 49 1 26 40 39 31 34 42 15,14,2,0,1,20,24 23 25 30 32 27 18 44 5 41 2 15 0,30 31 29 32 1 38 26 31 5 18 40 44 46,1,2,1
33 11 42 6 48 4 16 28 22 2 21 41 8,2 14 13 26 19 30 16 51 0 43 24 38 39,9,13,0,1,9,22 21 20 23 48 8 10 41 42 43 28 2 16,14 16 15 29 30 28 13 26 0 39 41 43 52,2,1,1
16 47 11 0 17 14 1 44 35 41 15 51 10,13 34 3 25 40 48 20 24 44 2 39 13 36,29,0,14,0,23,16 17 18 12 42 10 15 41 28 1 27 14 52,40 39 41 3 25 24 30 4 43 13 13 2 43,1,1,2
0 20 1 23 30 3 13 29 35 44 11 42 26,16 24 29 50 28 36 9 41 19 17 45 42 5,34,37,0,1,7,30 29 31 32 0 13 26 1 14 3 42 44 45,16 19 17 18 21 24 23 29 42 16 28 41 47,1,1,2
51 33 20 45 37 7 30 34 36 52 22 4 1,14 12 18 13 43 8 40 39 13 34 35 28 19,35,80,0,1,15,51 33 20 45 37 7 30 34 36 52 22 4 1,34 35 33 18 19 17 14 40 27 9 13 39 48,2,0,2
19 40 39 31 32 35 39 33 37 34 6 3 51,28 31 11 30 18 45 46 49 1 14 40 8 23,0,0,80,0,10,39 51 40 35 34 39 37 32 19 6 33 52 7,28 31 11 30 18 45 46 49 1 14 40 8 23,1,1,2
33 26 16 52 50 25 38 6 10 35 46 8 26,11 17 10 39 4 5 32 45 23 35 14 48 4,28,80,0,1,24,33 26 16 52 50 25 38 6 10 35 46 8 26,4 5 3 6 7 8 9 39 13 0 14 27 41,2,0,2
31 23 39 51 10 14 11 5 19 15 25 20 24,43 30 41 45 13 39 50 27 40 48 0 1 51,10,2,0,1,18,23 25 24 22 10 19 20 17 16 31 5 36 39,41 39 40 51 1 2 3 43 30 4 0 13 26,2,0,2
44 28 52 8 27 52 32 42 19 9 35 15 4,48 25 14 45 32 11 19 28 14 45 41 42 49,15,0,27,0,2,27 26 38 28 44 42 52 32 19 52 8 9 15,41 42 43 28 14 25 45 32 19 14 17 45 48,1,2,1
37 46 7 13 4 41 52 14 21 10 39 36 39,2 28 47 27 41 6 16 51 17 5 43 36 49,31,47,0,1,26,52 5 13 39 39 14 14 41 42 4 30 4 45,16 17 15 5 28 27 41 2 15 43 45 44 46,2,1,1
43 47 21 24 50 18 44 18 52 3 30 4 25,13 49 41 4 49 9 15 35 14 33 23 23 6,29,0,23,0,14,24 25 23 52 18 20 43 30 4 44 18 31 3,13 15 14 51 40 41 39 52 35 9 4 6 33,1,1,2
5 22 30 37 9 9 14 0 26 33 50 43 24,19 52 44 14 2 24 8 30 16 11 34 15 27,46,16,0,1,19,43 44 42 33 52 44 47 0 26 39 14 30 5,24 23 25 22 52 27 30 29 14 16 15 7 25,1,2,0
31 43 25 11 2 35 49 48 50 39 45 10 40,50 3 29 47 5 1 20 22 6 20 21 51 46,31,2,0,1,14,49 48 50 39 40 41 31 43 45 11 10 12 13,1 3 2 50 5 51 47 46 18 20 22 21 19,2,2,0
34 13 29 33 52 31 31 40 41 20 24 29 10,5 12 42 5 7 41 47 3 34 8 47 7 45,24,59,0,1,20,52 24 13 40 27 41 29 29 4 31 31 19 33,5 7 8 6 45 47 46 11 2 41 3 5 4,3,0,1
23 48 13 0 44 20 1 2 30 34 10 16 7,36 0 6 45 12 27 12 33 29 34 35 17 20,9,9,0,1,9,0 1 2 12 48 13 14 16 20 19 18 40 30,36 33 34 35 27 29 28 6 45 52 0 39 13,2,0,2
49 40 2 38 3 33 31 47 30 45 28 43 49,12 19 27 20 42 11 51 26 27 46 24 31 3,35,0,36,0,28,45 43 44 30 31 52 33 2 28 41 46 20 33,27 26 38 28 39 0 27 1 40 42 3 4 31,1,1,2
22 27 8 51 15 49 34 5 16 22 39 42 43,37 30 23 15 14 48 38 17 1 36 19 44 4,18,37,0,1,7,51 39 40 5 42 43 0 27 15 16 29 19 22,37 38 36 44 14 15 30 17 4 48 50 49 47,2,1,1
48 23 46 3 29 48 22 24 31 51 2 6 40,47 37 10 6 39 33 30 9 20 34 45 49 36,10,10,0,1,8,23 22 24 21 48 46 36 29 31 23 40 27 2,43 45 44 27 28 26 10 30 17 49 33 20 36,2,0,2
9 20 18 51 27 45 34 23 16 9 33 6 44,11 26 47 46 26 12 46 39 45 18 17 37 32,13,80,0,1,3,9 20 18 51 27 45 34 23 16 9 33 6 44,47 46 45 26 26 37 18 17 16 11 12 10 39,3,1,0
