,Random,Random,Random,Random,Random,Random,Defeat,Defeat,Defeat,Defeat,Defeat,Defeat,Minscore,Minscore,Minscore,Minscore,Minscore,Minscore,Mindist,Mindist,Mindist,Mindist,Mindist,Mindist,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp
,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp
117,-56,23,-45,-80,-65,-80,-33,0,-80,-80,-80,-80,59,80,-12,-47,-44,-48,80,80,15,-23,-23,-23,31,80,-20,-39,-39,-39,67,80,15,-26,-26,-26
118,0,2,-80,-14,-80,-80,-35,0,-80,-80,-80,-80,53,80,35,-13,-2,-2,80,80,38,24,46,46,80,80,38,24,46,46,74,80,38,24,46,46
119,-19,80,-80,-70,-80,-80,-15,0,-80,-80,-80,-80,80,80,14,72,4,78,17,80,8,72,12,12,74,80,30,67,19,8,80,80,8,59,-12,18
120,-24,9,-55,-80,-22,-23,-30,0,-80,-80,-80,-80,80,80,43,-2,66,-8,43,80,35,-64,64,-20,49,80,-6,-2,64,-2,80,80,41,-19,64,69
121,-6,1,-76,-80,-50,-78,0,0,-76,-80,-80,-80,64,80,-13,-7,3,80,36,80,-80,-16,-16,80,19,80,-20,80,2,80,73,80,-80,-80,-80,-80
122,56,14,-80,-47,-80,-80,0,0,-80,-80,-80,-80,80,80,-2,2,-45,-13,79,80,-36,-46,13,13,80,80,-24,-26,12,11,80,80,2,8,-48,-26
123,0,6,-80,-64,-80,-80,-12,0,-80,-80,-71,-71,80,80,-17,-32,17,17,80,80,14,25,30,30,68,80,49,25,30,30,39,80,49,25,30,30
124,-72,1,-80,-18,-74,-80,-38,0,-80,-76,-69,-69,80,80,-26,-4,-3,-3,33,80,-44,-26,-26,-26,41,80,8,-22,3,-23,64,80,-18,-23,3,-26
125,2,8,-80,-47,-80,-77,-31,0,-80,-80,-80,-80,80,80,18,-15,-54,4,20,80,-18,-18,-18,-18,24,80,19,-19,-19,-19,47,80,3,-27,-27,-27
126,0,4,-74,-47,-80,-76,-11,0,-80,-80,-80,-80,72,80,2,-6,5,-10,59,80,27,-28,-36,-28,80,80,-28,-36,-36,-36,80,80,-41,-49,-49,-49
127,-18,0,-80,-80,-80,-69,-13,0,-80,-80,-80,-80,80,80,30,73,80,80,80,80,80,80,80,80,74,80,80,80,80,80,80,80,80,80,80,80
128,1,63,-74,-80,-80,-70,-1,0,-80,-80,-80,-80,73,80,-11,-11,-11,-11,80,80,-38,16,-35,-35,23,80,-22,-46,-16,-16,80,80,18,-46,-16,-16
129,-71,4,-80,-74,-80,-74,-62,0,-80,-80,-80,-80,80,80,13,-12,43,-12,80,80,-19,-19,18,13,80,80,-2,-29,18,12,80,80,-3,-20,-3,-3
130,30,23,-80,-70,-60,-50,-7,0,-80,-80,-80,-80,75,80,-80,-80,-80,-80,80,80,-80,-80,-80,-80,8,80,-80,-9,-69,-80,79,80,-12,11,-80,-80
131,5,24,-48,-80,-33,-80,-63,0,-80,-80,-80,-80,80,80,80,56,62,62,80,80,80,56,62,62,28,80,80,56,62,62,80,80,80,56,62,62
132,32,55,-80,-80,-26,-80,0,0,-80,-80,-80,-80,55,80,-7,-3,-16,-19,70,80,-80,-80,-80,-80,68,80,-19,-21,-20,-22,80,80,-55,-49,-49,-49
133,-6,12,-71,-58,-80,-80,-22,0,-80,-80,-80,-80,47,80,-10,-40,-53,-42,80,80,4,-53,-53,-53,80,80,23,-66,79,-66,80,80,8,53,62,60
134,-2,80,-71,-58,-80,-9,-80,0,-80,-80,-80,-80,42,80,-10,-58,-44,-65,72,80,-80,40,-80,-80,67,80,-64,18,-80,-80,80,80,-78,-49,-80,-13
135,40,20,-22,-80,-80,-80,-3,0,-80,-80,-80,-80,80,80,44,26,44,-10,80,80,48,-23,44,-23,64,80,44,-7,44,-7,80,80,44,-13,44,-13
