"","Move","Player_1_Final1","Player_1_Final2","Player_2_Final1","Player_2_Final2","Player_1_Initial1","Player_1_Initial2","Player_2_Initial1","Player_2_Initial2","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"188",17,1,45,29,48,1,44,28,48,1,0,0,1,4,2,1,1,2,1,44,122
"189",18,3,45,29,48,1,45,29,48,4,2,0,4,0,0,2,0,1,0,46,122
"190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191",1,1,5,4,1,1,1,1,1,3,4,4,3,4,0,4,3,2,1,4,3
"192",2,1,9,16,5,1,5,4,1,4,0,0,2,4,6,4,6,2,1,8,19
"193",3,3,9,16,9,1,9,16,5,2,4,0,4,0,0,2,4,1,2,10,23
"194",4,3,14,16,11,3,9,16,9,2,5,1,2,1,0,5,2,2,2,15,25
"195",5,4,14,16,16,3,14,16,11,1,0,0,5,4,3,1,5,1,2,16,30
"196",6,4,18,16,19,4,14,16,16,4,3,0,3,0,0,4,3,2,2,20,33
"197",7,4,23,20,25,4,18,16,19,5,6,1,6,1,0,5,6,2,2,25,43
"198",8,4,24,22,25,4,23,20,25,1,0,0,3,6,2,1,2,2,1,26,45
"199",9,5,36,25,25,4,24,22,25,3,6,0,3,0,0,6,3,2,1,39,48
"200",10,5,38,25,28,5,36,25,25,2,3,5,3,5,0,2,3,2,2,41,51
"201",11,5,43,25,39,5,38,25,28,5,0,0,4,6,3,5,6,2,2,46,62
"202",12,5,47,25,42,5,43,25,39,4,3,0,3,0,0,4,3,2,2,50,65
"203",13,19,47,25,45,5,47,25,42,3,6,2,3,2,0,6,3,1,2,64,68
"204",14,21,47,27,48,19,47,25,45,2,0,0,3,1,6,2,3,1,2,66,120
"205",15,29,47,28,48,21,47,27,48,1,6,0,1,0,0,6,1,1,1,74,121
"206",16,32,47,36,48,29,47,28,48,6,5,3,6,5,0,3,6,1,1,77,129
"207",17,37,47,37,48,32,47,36,48,5,0,0,4,5,1,5,1,1,1,82,130
"208",18,41,47,37,48,37,47,37,48,4,5,0,5,0,0,4,0,1,0,86,130
"209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"210",1,6,1,6,1,1,1,1,1,5,5,2,5,2,0,5,5,1,1,5,5
"211",2,6,3,9,1,6,1,6,1,2,0,0,3,4,1,2,3,2,1,7,8
"212",3,10,3,10,1,6,3,9,1,4,1,0,1,0,0,4,1,1,1,11,9
"213",4,10,7,10,6,10,3,10,1,5,2,4,5,2,0,4,5,2,2,15,14
"214",5,10,9,16,8,10,7,10,6,2,0,0,3,6,4,2,6,2,1,17,22
"215",6,10,13,19,8,10,9,16,8,3,4,0,3,0,0,4,3,2,1,21,25
"216",7,16,17,23,8,10,13,19,8,1,6,4,1,4,0,6,4,1,1,31,29
"217",8,16,18,23,13,16,17,23,8,1,0,0,5,5,1,1,5,2,2,32,34
"218",9,16,23,23,14,16,18,23,13,5,1,0,1,0,0,5,1,2,2,37,35
"219",10,21,23,27,14,16,23,23,14,3,4,5,3,4,0,5,4,1,1,42,39
"220",11,21,26,33,15,21,23,27,14,3,0,0,2,1,6,3,6,2,1,45,46
"221",12,23,26,34,15,21,26,33,15,2,1,0,1,0,0,2,1,1,1,47,47
"222",13,23,30,36,15,23,26,34,15,4,2,2,2,2,0,4,2,2,1,51,49
"223",14,25,30,39,15,23,30,36,15,2,0,0,3,2,3,2,3,1,1,53,52
"224",15,28,30,39,17,25,30,39,15,2,3,0,2,0,0,3,2,1,2,56,54
"225",16,39,39,42,1,28,30,39,17,3,6,2,3,2,0,6,3,1,1,76,41
"226",17,41,39,43,1,39,39,42,1,2,0,0,3,5,1,2,1,1,1,78,42
"227",18,44,39,43,1,41,39,43,1,3,5,0,5,0,0,3,0,1,0,81,42
"228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"229",1,4,1,7,7,1,1,1,1,2,6,3,2,6,0,3,6,1,1,3,12
"230",2,4,3,7,12,4,1,7,7,2,0,0,3,1,5,2,5,2,2,5,17
"231",3,4,6,8,12,4,3,7,12,3,1,0,1,0,0,3,1,2,1,8,18
"232",4,4,11,14,13,4,6,8,12,5,6,4,6,4,0,5,6,2,1,13,25
"233",5,4,15,15,13,4,11,14,13,4,0,0,1,1,3,4,1,2,1,17,26
"234",6,7,15,16,13,4,15,15,13,1,3,0,1,0,0,3,1,1,1,20,27
"235",7,7,17,19,13,7,15,16,13,3,2,2,3,2,0,2,3,2,1,22,30
"236",8,7,19,22,13,7,17,19,13,2,0,0,1,3,1,2,3,2,1,24,33
