,Random,Random,Random,Random,Random,Random,Defeat,Defeat,Defeat,Defeat,Defeat,Defeat,Minscore,Minscore,Minscore,Minscore,Minscore,Minscore,Mindist,Mindist,Mindist,Mindist,Mindist,Mindist,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp
,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp
106,4,9,-52,-60,-60,-39,-41,0,-60,-60,-60,-60,26,60,-10,-8,60,-8,60,60,-26,3,-26,-51,44,60,-27,58,-41,-27,24,60,-49,60,60,-46
107,-5,48,-60,-49,-27,-60,-25,0,-60,-60,-60,-60,60,60,31,57,2,60,22,42,19,10,60,-60,49,22,21,-60,-55,60,20,60,3,-42,-42,60
108,-1,37,-60,-40,-27,-23,-6,0,-60,-60,-60,-60,50,60,4,8,-20,19,54,60,-51,-34,-51,47,50,60,-41,24,60,-41,48,60,-42,-60,-56,-42
109,-9,9,-60,-55,-52,-7,0,0,-60,-60,-60,-60,24,60,-16,-60,25,-60,60,60,-50,-35,-50,-60,54,60,-55,10,-60,-60,60,60,12,58,60,-60
110,-25,30,-27,-52,-24,-49,-42,7,-60,-60,-60,-49,57,60,43,14,-60,47,42,60,24,-2,7,9,60,33,39,-19,27,60,60,60,39,-60,-60,60
111,36,34,-37,-43,-60,-52,-35,0,-60,-60,-60,-60,50,60,-23,-60,9,-60,56,60,-14,5,-60,8,48,60,-4,-38,-12,-60,20,60,-60,3,9,-60
112,14,16,-34,-30,-42,-52,0,0,-60,-60,-60,-60,50,60,3,3,-13,9,34,60,3,20,9,-34,60,60,18,-13,-19,27,31,60,3,10,-12,9
113,-60,19,-52,-40,-25,-43,-6,0,-60,-60,-60,-60,6,60,-12,-6,-9,8,34,60,-17,27,5,-35,60,60,-12,20,-38,-12,49,52,-20,-37,-37,-12
114,-9,15,-60,-60,-18,-57,-8,0,-60,-60,-60,-60,30,60,-9,-5,-30,-9,24,60,-34,8,-34,-12,45,60,5,-9,-10,-19,20,31,-37,-38,-38,-37
115,-32,20,-60,-42,-60,-19,-26,0,-60,-60,-60,-60,52,60,-30,-30,-2,-30,36,60,-35,53,-35,17,60,60,-38,27,17,-38,39,60,-38,7,3,-38
116,0,20,-51,-36,-60,-3,-16,0,-60,-60,-60,-60,47,60,-5,6,17,-2,60,60,15,-18,-12,19,24,60,2,8,-9,-10,40,60,3,20,17,3
117,-27,37,-60,-60,-4,-50,-5,0,-60,-60,-60,-60,44,60,35,5,3,17,53,60,35,24,17,32,60,60,33,53,32,17,4,42,33,20,18,17
118,-60,17,-38,-59,-49,-60,-20,0,-60,-60,-60,-60,26,51,3,3,32,3,60,22,3,-25,18,29,-21,60,-9,20,18,-9,45,60,12,27,32,19
119,0,35,-10,-18,-43,-52,-33,0,-60,-60,-44,-60,25,60,23,27,8,32,60,60,23,-23,32,39,35,60,22,24,38,32,19,60,23,8,18,32
120,-47,31,-60,-44,-52,-36,-21,0,-60,-60,-60,-60,22,60,2,26,38,8,34,60,26,9,33,-18,22,60,4,-5,35,-27,33,60,4,53,38,-27
121,-13,0,-39,-24,-13,-44,0,0,-60,-60,-60,-60,60,60,13,29,10,39,60,51,29,16,38,46,60,60,13,11,46,39,60,60,13,-23,35,39
122,-6,6,-56,-48,-27,-46,-33,0,-60,-60,-60,-60,37,60,21,20,46,27,0,60,9,-33,22,-25,60,60,12,60,3,21,48,60,12,24,46,21
123,-4,25,-54,-25,-60,-60,-8,0,-60,-60,-60,-60,-38,60,24,24,-13,46,60,60,24,22,46,-23,34,60,24,2,-2,46,49,60,24,-7,-20,46
124,16,38,-60,-54,-53,-47,-49,5,-60,-60,-60,-60,47,60,9,-2,-2,-13,60,60,-7,-45,-25,-4,48,60,2,-23,-15,-5,36,60,2,11,-24,-7
125,-7,0,-25,-49,-40,-25,-19,0,-60,-60,-41,-60,60,60,-2,-3,17,-2,21,60,-23,-23,-31,17,25,60,-19,22,3,-2,60,60,-25,-10,-15,-24
126,6,32,-19,-6,-60,-46,-13,0,-60,-60,-60,-60,34,60,-2,-14,14,-2,52,60,-4,14,17,-33,60,60,9,-53,-10,-15,30,60,5,2,3,-15
127,0,0,-29,-51,-60,-24,-32,0,-60,-60,-40,-60,26,60,3,2,-29,3,48,60,14,-51,17,22,42,60,30,-19,22,3,60,60,30,-10,-10,3
128,2,6,-28,-46,-26,-19,0,0,-60,-60,-53,-60,27,60,5,-12,20,-29,60,60,-33,28,-33,-45,45,60,-10,-16,-49,-2,33,22,-10,22,22,-3
129,31,18,-60,-60,-55,-60,-18,0,-60,-60,-60,-60,24,60,20,22,-15,20,60,60,22,-11,22,-23,56,60,22,-57,-19,22,42,60,22,-50,-45,22
130,14,60,-35,-43,-19,-60,-13,0,-60,-60,-60,-60,60,60,-12,-15,-6,-15,24,60,-32,-31,-45,17,38,60,-41,28,-16,-49,50,60,9,-19,-19,-50
131,-26,28,-41,-60,-37,-17,-29,1,-60,-60,-60,-60,35,60,13,-6,-3,-6,51,60,-23,28,-23,-51,60,38,-19,20,-60,-19,60,33,-19,-16,-16,-19
132,8,4,-53,-37,-41,-2,-14,0,-60,-60,-60,-60,45,60,-3,-3,-34,-3,60,60,7,44,17,29,20,60,23,-56,21,-16,57,60,23,-57,-60,-16
133,-20,12,-60,-60,-24,-24,0,-4,-60,-60,-60,-60,41,60,-23,16,-3,11,42,60,-51,56,-51,-11,60,60,10,8,46,-60,26,60,3,28,21,-60
134,-27,32,-31,-60,-60,-48,0,0,-60,-60,-60,-60,60,60,3,11,36,-3,34,60,-7,22,21,-31,41,60,38,44,-56,29,58,60,38,-17,46,29
135,60,60,-32,-31,-53,-60,-34,0,-45,-60,-50,-60,60,60,35,-2,20,-5,55,60,40,60,36,20,60,60,37,22,2,48,52,60,37,-56,-56,48
