,mscore
606,32
607,59
608,26
609,39
610,26
611,49
612,37
613,41
614,40
615,43
616,18
617,21
618,70
619,39
620,75
621,33
622,43
623,23
624,47
625,26
626,42
627,20
628,20
629,40
630,25
631,21
632,32
633,74
634,54
635,23
636,47
637,49
638,40
639,26
640,12
641,20
642,28
643,44
644,15
645,65
646,38
647,44
648,28
649,53
650,39
651,44
652,23
653,79
654,49
655,65
656,59
657,51
658,21
659,58
660,29
661,22
662,38
663,26
664,4
665,47
666,17
667,26
668,68
669,39
670,47
671,50
672,29
673,31
674,43
675,58
676,10
677,27
678,46
679,23
680,51
681,15
682,50
683,22
684,45
685,67
686,34
687,23
688,75
689,57
690,45
691,58
692,5
693,53
694,41
695,80
696,32
697,25
698,33
699,43
700,54
701,77
702,26
703,46
704,43
705,27
706,60
707,10
708,50
709,22
710,32
711,37
712,32
713,80
714,51
715,24
716,48
717,21
718,54
719,51
720,68
721,43
722,27
723,19
724,27
725,73
726,23
727,45
728,47
729,44
730,43
731,17
732,77
733,22
734,2
735,31
736,29
737,46
738,42
739,45
740,38
741,12
742,73
743,58
744,48
745,76
746,49
747,37
748,80
749,46
750,42
751,18
752,45
753,9
754,52
755,52
756,37
757,20
758,9
759,47
760,24
761,35
762,43
763,49
764,34
765,51
766,34
767,43
768,78
769,80
770,78
771,24
772,38
773,49
774,20
775,76
776,49
777,31
778,32
779,41
780,58
781,27
782,12
783,31
784,75
785,58
786,18
787,47
788,53
789,41
790,50
791,66
792,34
793,72
794,76
795,61
796,22
797,14
798,45
799,48
800,63
801,40
802,31
803,80
804,16
805,23
806,45
807,43
808,45
809,55
810,22
811,43
812,63
813,24
814,44
815,35
816,45
817,51
818,44
819,34
820,46
821,47
822,68
823,56
824,80
825,24
826,68
827,41
828,80
829,38
830,26
831,8
832,24
833,50
834,36
835,51
836,40
837,18
838,50
839,53
840,30
841,30
842,44
843,51
844,21
845,35
846,39
847,41
848,29
849,13
850,47
851,6
852,47
853,56
854,47
855,53
856,72
857,53
858,46
859,28
860,39
861,69
862,54
863,41
864,12
865,28
866,30
867,29
868,72
869,43
870,38
871,15
872,13
873,24
874,71
875,30
876,32
877,31
878,51
879,41
880,29
881,23
882,33
883,21
884,41
885,70
886,14
887,19
888,49
889,4
890,22
891,21
892,74
893,30
894,78
895,54
896,50
897,49
898,76
899,46
900,28
901,56
902,62
903,67
904,42
905,74
906,42
907,40
908,47
909,14
910,26
911,45
912,26
913,50
914,49
915,18
916,64
917,70
918,78
919,47
920,6
921,27
922,22
923,51
924,35
925,62
926,63
927,32
928,47
929,70
930,34
931,43
932,23
933,53
934,73
935,37
936,27
937,42
938,74
939,28
940,39
941,43
942,2
943,22
944,51
945,15
946,22
947,32
948,13
949,79
950,45
951,56
952,76
953,42
954,37
955,25
956,39
957,56
958,47
959,56
960,32
961,80
962,21
963,33
964,46
965,69
966,69
967,59
968,69
969,42
970,67
971,53
972,22
973,41
974,44
975,38
976,61
977,48
978,23
979,22
980,42
981,46
982,22
983,80
984,4
985,69
986,23
987,25
988,54
989,54
990,43
991,44
992,23
993,26
994,22
995,16
996,8
997,36
998,11
999,32
1000,40
1001,24
1002,38
1003,21
1004,17
1005,18
1006,42
1007,30
1008,10
1009,23
1010,35
1011,53
1012,72
1013,51
1014,44
1015,29
1016,55
1017,60
1018,34
1019,49
1020,35
1021,21
1022,48
1023,19
1024,45
1025,71
1026,67
1027,66
1028,13
1029,25
1030,45
1031,49
1032,39
1033,7
1034,69
1035,35
1036,40
1037,30
1038,45
1039,21
1040,28
1041,28
1042,21
1043,38
1044,59
1045,47
1046,32
1047,37
1048,25
1049,27
1050,59
1051,47
1052,45
1053,48
1054,27
1055,41
1056,28
1057,38
1058,65
1059,49
1060,74
1061,59
1062,22
1063,48
1064,43
1065,68
1066,44
1067,22
1068,59
1069,15
1070,18
1071,66
1072,13
1073,28
1074,50
1075,0
1076,20
