init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
44 41 21 43 39 16 27 50 3 32,48 30 28 22 17 52 7 35 10 34,18,9,0,1,8,44 14 16 17 21 47 8 39 27 41,48 30 28 22 52 7 35 10 52 29,1,1,1
26 41 50 7 15 52 3 43 46 45,18 20 0 4 32 11 5 2 37 30,1,0,18,0,12,52 48 9 52 3 42 41 15 28 40,18 20 4 11 5 2 37 24 27 13,0,0,3
2 24 4 36 8 52 26 46 17 40,23 29 9 48 28 6 21 11 18 25,16,2,0,1,13,52 36 35 52 2 4 46 45 47 26,23 29 9 48 28 21 27 30 3 42,0,2,1
14 1 49 52 15 31 28 6 19 25,33 22 29 16 35 20 39 41 32 2,18,0,30,0,6,52 49 47 25 31 24 15 28 41 5,33 22 29 16 35 20 11 44 23 48,0,2,1
13 29 4 48 52 38 24 37 47 52,44 5 7 20 11 33 31 45 46 9,19,15,0,1,1,52 38 37 48 47 52 13 26 29 4,44 5 7 20 11 33 31 45 46 9,0,1,2
41 42 5 32 16 6 43 23 19,39 25 8 37 48 0 28 51 12 47,44,0,48,0,2,32 6 19 42 16 3 41 43 5 40,39 25 8 48 0 51 12 47 45 30,0,1,2
2 19 44 50 12 39 3 28 20,17 9 27 32 6 45 40 16 52 34,51,0,9,0,4,19 12 20 2 3 1 23 22 24 21,17 27 32 6 45 40 16 52 38 7,2,1,0
28 52 27 16 50 2 35 8 15 45,14 29 22 42 41 12 19 24 43 38,40,0,5,0,4,52 27 50 28 2 15 45 19 32 1,14 29 22 42 41 12 24 43 38 51,0,1,2
26 21 28 9 51 16 8 52 30 5,3 23 20 18 7 46 43 50 15 22,31,11,0,1,9,52 21 8 51 5 50 39 26 14 28,3 23 20 18 7 46 22 1 0 44,0,2,1
30 42 22 2 11 17 1 21 52 34,26 46 49 25 12 50 45 28 47 32,41,10,0,1,5,2 11 10 22 21 52 19 26 1 42,46 49 25 12 50 45 28 47 44 15,1,1,1
17 7 4 44 20 16 36 1 13 39,43 50 31 37 24 52 23 42 27 26,28,12,0,1,4,17 4 30 7 20 33 13 39 1 16,43 50 37 24 52 42 27 26 2 44,1,1,1
41 52 28 48 49 3 2 10 52 23,6 37 17 16 47 26 19 4 45 8,43,3,0,1,3,52 48 49 41 28 2 10 52 23 27,6 17 16 47 4 45 8 5 29 3,0,2,1
44 16 39 27 12 32 19 45 22 50,9 1 33 51 2 14 36 37 10 15,28,32,0,1,8,16 29 42 39 0 27 40 43 45 32,9 1 2 14 36 37 10 15 12 52,0,2,1
25 18 0 22 33 1 28 47 6 20,7 2 30 17 26 50 14 12 11 9,49,15,0,1,8,20 22 21 33 7 23 0 1 28 4,30 17 50 11 32 10 31 19 52 18,2,0,1
43 42 13 47 35 52 20 36 46 28,15 38 8 3 5 40 4 30 44 11,27,0,10,0,7,52 20 46 42 43 14 35 36 34 33,15 8 3 5 40 4 11 13 9 41,1,1,1
1 52 11 30 47 42 37 23 17,9 43 40 32 28 26 33 29 35 38,3,33,0,1,7,52 11 37 23 25 30 17 43 1 10,9 32 28 26 33 29 35 22 42 48,0,2,1
21 52 15 7 0 17 29 6 52 3,48 46 40 18 26 32 11 2 14 4,12,25,0,1,9,21 52 18 20 0 39 15 29 3 31,48 46 40 2 14 4 25 49 52 51,0,2,1
5 28 47 33 41 43 17 49 4 32,30 20 37 35 9 52 31 18 42 15,14,23,0,1,7,47 49 27 43 17 30 28 2 5 32,20 37 35 52 31 18 33 44 38 7,0,1,2
4 8 51 30 27 39 32 38 15 36,14 23 20 41 0 18 1 22 29 52,25,16,0,1,7,51 32 45 43 38 44 13 39 15 9,14 23 20 1 22 29 52 40 27 28,1,1,1
52 36 49 26 9 39 48 31 44 20,30 8 52 12 4 27 15 17 13 33,35,0,26,0,1,52 36 49 26 9 39 48 31 44 22,30 8 52 12 4 15 17 13 33 20,0,0,3
40 33 19 47 29 34 5 36 49 3,28 7 39 20 32 4 27 8 51 1,50,15,0,1,7,34 47 8 24 32 29 31 13 40 48,28 7 39 20 27 51 33 26 11 38,1,1,1
47 49 26 42 4 34 23 20 45 46,14 1 8 10 37 28 5 3 36 25,12,0,12,0,4,49 23 52 4 17 51 47 45 46 44,14 1 8 10 37 36 25 34 30 52,1,0,2
42 8 37 15 43 13 20 47 4,41 25 2 52 32 31 30 14 10 27,12,60,0,1,2,42 37 15 43 13 20 47 4 49 36,41 25 2 52 32 31 30 14 27 33,1,0,2
