init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
30 0 26 25 2 4 40 51 46 6,38 11 44 22 10 32 21 29 50 9,19,0,8,0,5,30 0 26 25 4 51 6 17 38 43,22 32 21 24 11 10 9 8 14 29,0,0,3
22 23 1 16 49 47 48 36 8 37,31 46 52 39 44 4 14 0 11 6,30,0,2,0,4,22 23 49 47 48 36 37 17 34 52,52 44 31 46 4 20 14 1 43 39,1,2,0
52 20 18 42 30 15 26 22 10 3,47 49 37 28 4 6 32 36 17 21,34,0,7,0,8,52 20 18 42 22 3 35 47 17 48,49 36 21 6 4 8 7 13 39 14,0,1,2
11 35 7 42 36 23 8 31 15 44,32 39 26 10 5 30 17 51 25,1,0,56,0,3,35 7 42 36 8 44 6 34 40 43,39 26 15 2 30 17 5 18 32 10,3,0,0
52 4 33 47 37 51 43 34 1 5,22 25 17 38 12 15 45 11 20 35,31,0,60,0,2,52 4 33 37 43 34 5 46 35 18,25 38 12 17 45 20 7 22 11 47,0,1,2
46 45 27 17 2 7 38 48 26 33,20 10 47 30 44 12 41 24 31,13,0,23,0,4,46 45 27 7 26 33 1 40 14 47,52 44 31 10 12 11 41 2 17 20,0,1,2
52 52 28 10 14 20 30 47 12 27,48 43 6 11 17 46 45 7 41 32,1,0,54,0,0,52 52 28 10 14 30 47 12 27 44,48 43 6 11 17 46 45 7 41 32,0,3,0
23 21 32 44 37 15 0 52 4 25,29 16 22 33 1 50 10 13 8 49,38,0,15,0,6,23 21 32 44 52 25 46 45 30 22,3 1 4 2 29 16 42 13 41 33,2,1,0
42 8 34 45 51 48 52 3 37 47,32 26 29 46 23 9 18 7 10 14,21,0,60,0,0,42 8 34 45 48 52 3 37 47 36,32 26 29 46 23 9 18 7 10 14,0,2,1
21 37 22 48 26 2 32 6 47 17,41 44 45 52 35 20 13 40 52 50,30,0,11,0,2,21 22 48 32 6 47 17 49 50 20,44 45 52 52 35 37 13 26 40 41,2,0,1
43 37 40 36 8 28 26 13 7 11,41 45 42 44 25 18 52 23 0 39,47,13,0,1,5,37 40 8 28 26 11 24 14 5 29,52 25 23 34 0 39 41 42 44 43,1,1,1
45 9 30 49 4 26 46 21 6 7,32 20 39 52 5 40 0 10 42 3,35,0,12,0,2,45 9 30 4 46 6 7 52 20 32,52 10 49 3 5 22 39 0 40 42,0,0,3
45 23 13 22 48 7 50 16 11 5,37 39 35 24 28 17 15 14 52 30,18,0,9,0,2,23 13 22 50 16 11 5 31 24 15,17 30 4 37 35 52 34 39 14 28,0,2,1
35 6 10 41 49 31 20 47 21 45,34 44 7 12 16 17 19 29 0 1,27,0,33,0,11,6 10 49 20 21 45 14 36 23 1,16 17 19 0 39 13 26 41 2 43,0,1,2
16 20 10 39 1 45 23 4 32 24,11 52 50 31 6 5 49 36 29,43,0,49,0,3,20 10 45 23 4 32 19 30 36 49,11 52 50 15 29 31 5 6 20 20,0,1,2
20 52 17 7 43 31 32 22 45 29,28 15 37 14 8 48 23 18 36 47,9,0,46,0,1,20 52 17 7 43 31 32 22 29 35,37 48 36 14 28 15 18 45 8 23,0,1,2
22 50 52 14 21 18 17 40 4 34,8 45 29 41 23 42 30 11 43,38,0,35,0,9,22 52 14 21 18 17 40 27 15 23,43 41 42 45 44 29 30 4 32 8,1,1,1
5 18 52 8 21 25 51 7 52 6,34 38 12 3 10 31 32 35 37 36,42,0,15,0,0,5 52 8 21 25 51 7 52 6 22,34 38 12 3 10 31 32 35 37 36,1,1,1
2 10 38 13 33 7 14 16 42 1,11 15 46 0 4 45 19 29 5 40,31,0,32,0,4,2 13 33 7 14 16 1 46 15 18,11 5 10 8 0 40 29 4 45 19,1,1,1
17 50 46 52 5 16 34 23 11 9,49 30 26 20 18 42 25 7 13 51,44,18,0,1,5,17 50 52 5 16 34 11 21 28 14,20 7 46 49 10 23 26 13 39 18,0,0,3
4 36 52 10 6 20 31 24 15 35,32 25 39 16 8 40 12 38 42 1,9,0,35,0,4,4 36 52 10 6 31 35 22 44 49,25 12 16 42 52 39 40 1 32 20,0,1,2
36 52 48 13 32 47 33 23 34 14,24 15 11 46 35 7 43 37 12 42,21,0,53,0,0,36 52 13 32 47 33 23 34 14 10,24 15 11 46 35 7 43 37 12 42,0,2,1
17 13 28 32 52 2 36 4 42 22,9 31 6 51 15 50 52 47 3 45,46,0,2,0,8,17 32 52 2 4 16 1 31 30 3,14 15 13 52 41 43 51 50 49 39,2,1,0
12 41 16 21 38 29 19 11 43 49,30 31 23 28 52 33 52 34 45 5,44,60,0,1,1,12 41 16 21 38 29 19 11 43 49,30 31 28 52 33 34 23 52 24 5,0,3,0
0 14 26 4 32 1 30 52 6 13,11 43 36 47 42 33 39 41 49 9,48,0,2,0,5,0 14 26 32 52 6 13 45 16 52,43 42 41 36 49 9 33 20 7 39,0,1,2
12 14 3 25 36 37 19 13 42 48,46 38 20 47 27 39 16 0 1 8,23,0,12,0,3,14 3 25 36 13 42 9 7 8 6,46 47 48 27 38 52 39 0 1 16,2,0,1
14 13 21 8 27 42 23 29 19 16,47 25 1 0 32 26 46 38 31 51,35,0,29,0,4,14 13 21 8 42 29 16 47 22 52,25 38 51 0 26 1 27 41 31 32,0,1,2
52 9 49 28 3 23 27 34 18 5,7 14 37 19 24 50 2 51 13 44,0,0,13,0,5,52 49 28 23 27 18 20 21 29 19,37 24 50 44 31 5 13 14 2 43,2,0,1
52 52 37 39 0 44 1 31 27 16,30 18 10 49 21 51 4 15 12 8,38,0,3,0,2,52 52 39 0 44 1 31 27 18 13,51 21 8 12 30 4 10 49 36 14,0,0,3
21 19 4 46 44 24 47 3 1 13,50 35 32 2 7 10 23 52 22 6,5,0,26,0,4,21 19 4 46 44 47 3 1 20 48,23 22 24 52 35 36 2 43 6 32,2,1,0
44 49 17 14 42 33 36 37 35 46,1 51 22 47 15 28 40 52 3 32,12,20,0,1,10,44 17 14 42 36 37 35 27 1 39,3 4 2 51 15 28 52 9 6 8,1,1,1
0 21 39 4 14 45 26 31 15 27,40 28 18 23 49 2 52 5 10,43,0,21,0,3,0 39 4 14 45 26 15 52 48 52,28 2 23 49 10 18 5 17 40 35,0,2,1
3 45 50 27 52 36 35 51 44 37,9 1 38 4 17 20 5 0 2 15,34,0,50,0,2,45 50 52 36 35 51 44 37 38 49,1 0 2 15 4 17 5 32 20 9,2,1,0
48 32 29 17 45 4 41 27 11 52,26 30 10 44 9 5 18 36 34 19,15,0,13,0,4,32 29 17 45 4 41 52 42 16 19,44 5 18 10 9 11 26 0 27 30,0,0,3
29 20 47 25 38 24 51 45 2 32,34 10 15 6 33 52 37 43 9 23,8,0,26,0,2,47 25 38 24 51 45 32 12 23 52,34 10 6 52 9 26 15 29 43 33,1,0,2
45 47 50 17 40 39 14 13 44 33,34 9 23 29 12 26 38 1 52,18,0,14,0,11,45 47 17 40 39 14 44 16 5 51,52 9 7 34 21 52 26 1 2 29,1,2,0
