hand,wcj,minscore,mindist
11 30 6 50 29 36 37 45 31 20,46,10,1
52 14 47 13 41 51 30 37 24 48,10,45,3
17 32 34 35 52 52 30 20 40 22,12,15,1
30 13 41 29 40 27 12 39 1 48,33,39,2
26 52 14 9 37 44 33 52 50 42,48,14,2
40 3 7 41 19 9 36 1 13 4,22,36,3
22 52 30 5 32 48 50 11 27 43,28,50,3
52 40 22 46 16 41 12 9 27 29,25,19,2
0 37 24 19 46 47 8 50 22 5,18,29,2
13 4 25 18 38 23 29 27 28 5,1,41,3
52 35 51 24 21 32 11 22 15 46,39,51,3
49 38 31 11 41 21 14 43 36 4,30,44,4
19 10 29 52 49 0 27 12 17 18,48,20,2
29 21 49 10 42 30 52 18 28 27,1,22,1
7 48 19 24 44 10 2 34 31 27,5,45,4
37 51 33 2 10 6 11 36 8 18,50,30,3
5 8 39 4 21 15 43 22 16 48,33,60,4
38 52 35 41 43 13 15 33 22 29,42,25,2
38 9 33 34 45 6 39 16 35 31,36,50,3
20 15 43 41 42 52 9 11 45 10,40,13,1
16 29 52 5 1 9 21 52 34 35,18,3,1
23 5 30 14 12 21 51 8 47 52,24,26,3
15 16 43 18 28 34 20 14 49 42,38,51,3
19 21 34 18 42 16 2 51 44 24,6,48,3
35 3 32 15 52 49 47 1 43 18,51,43,3
46 12 13 19 4 3 42 22 10 45,44,60,4
27 42 24 18 44 36 10 3 39 33,48,60,4
18 49 23 24 45 32 9 46 47 43,35,31,2
43 22 5 37 10 12 50 24 36 0,28,55,3
51 44 0 14 33 11 41 35 23 52,17,46,4
52 44 46 41 36 8 5 19 37 18,50,31,2
40 26 52 5 6 35 47 13 52 17,44,27,3
52 51 52 2 26 33 42 23 18 40,14,32,4
5 1 34 29 22 23 49 40 52 16,27,27,2
46 40 5 7 17 35 0 15 52 26,16,34,3
45 6 16 52 31 50 11 9 37 3,20,27,2
52 35 31 26 43 15 4 17 49 13,39,14,2
39 45 9 28 26 12 29 4 5 21,3,46,3
12 7 50 35 30 5 3 40 18 36,47,60,5
17 45 13 14 51 27 6 30 29 44,2,58,3
25 32 26 16 18 6 44 17 50 29,0,32,3
38 22 19 9 42 32 21 4 15 47,6,25,3
39 19 5 42 17 14 11 40 7 30,1,23,2
44 36 10 8 15 20 25 34 22 7,42,60,3
39 20 29 22 25 11 15 9 40 44,30,60,4
28 45 42 34 29 26 7 36 52 15,31,37,3
14 35 10 45 52 31 7 23 39 36,21,39,4
9 45 6 11 32 16 47 52 1 39,28,20,3
29 8 32 42 31 21 17 27 15 37,12,60,3
48 33 15 0 4 8 9 42 21 29,27,60,4
35 26 45 2 51 11 5 10 29 39,40,60,4
29 3 8 10 13 30 5 31 28 45,32,14,1
28 5 0 21 1 22 41 13 48 3,4,57,3
7 52 41 44 21 48 52 39 13 45,14,27,3
45 25 52 0 52 11 3 51 30 40,46,34,3
25 31 48 21 8 28 36 19 20 24,40,60,3
48 10 20 11 32 31 12 21 52 29,25,29,1
17 51 34 0 20 10 26 6 40 28,32,43,3
52 32 20 34 22 5 8 17 12 26,0,31,2
13 12 1 29 50 26 21 38 7 40,28,60,4
48 41 49 2 52 27 52 29 1 35,25,21,2
11 52 5 18 16 43 41 34 45 39,27,45,3
14 2 10 45 52 0 49 48 51 46,20,21,2
10 15 2 17 3 47 30 23 16 13,9,47,3
19 26 29 4 5 34 15 18 33 41,2,20,2
8 6 25 13 51 48 0 26 40 44,5,31,2
52 16 10 28 35 37 13 9 1 15,44,38,2
6 36 22 24 0 26 41 14 46 3,11,49,4
42 14 0 41 36 39 13 3 6 21,4,45,3
15 24 43 41 29 49 23 51 10 6,44,47,4
50 49 11 3 24 14 9 46 15 30,18,47,3
42 0 48 51 16 8 10 38 11 18,44,42,2
9 52 34 14 6 52 19 22 45 15,13,10,1
44 43 27 4 3 50 6 45 42 16,10,27,2
14 10 33 36 23 25 15 19 52 43,35,23,2
20 1 35 33 6 47 8 37 9 3,21,26,2
52 29 26 23 52 48 40 14 31 21,32,18,2
35 49 21 23 31 9 18 50 38 41,7,60,4
52 45 25 38 50 16 52 20 48 11,4,32,2
33 7 13 15 46 19 35 49 34 37,32,16,1
19 28 7 25 0 6 51 21 49 17,1,60,4
30 52 52 24 39 4 29 10 34 26,23,19,2
8 11 37 52 22 13 6 7 30 23,32,27,2
52 14 23 47 27 13 5 50 52 28,4,29,2
47 11 31 15 36 34 19 44 50 8,18,22,2
22 34 40 25 28 20 52 11 10 7,41,32,2
