init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
8 47 16 17 25 11 31 35 27 3,5 48 6 45 2 13 49 36 29 0,40,0,60,0,6,8 47 16 17 25 27 38 12 52 51,5 48 6 45 2 13 49 36 29 0,0,1,2
45 21 52 31 36 12 29 34 39 14,6 1 33 28 25 22 7 3 23 0,26,22,0,1,2,21 52 31 36 12 29 34 39 18 19,33 7 0 52 1 3 25 22 23 24,1,1,1
19 29 17 33 5 39 20 15 35 46,51 31 30 22 41 7 52 50 47 12,11,7,0,1,4,19 17 33 5 20 46 6 44 18 7,31 30 52 51 12 38 50 39 41 42,0,2,1
27 6 37 52 38 31 10 11 51 33,16 40 9 7 13 15 52 41 20 0,22,0,4,0,5,27 52 31 10 11 33 12 1 40 48,9 7 20 16 13 15 52 25 0 39,1,1,1
16 25 5 6 0 51 8 33 37 31,48 42 52 28 14 38 22 4 13 2,30,29,0,1,6,25 5 6 51 8 33 31 38 15 32,52 22 23 48 46 4 45 13 14 17,0,3,0
23 26 13 6 38 31 19 12 39 1,52 0 45 2 50 21 7 41 8 5,27,24,0,1,5,26 13 38 19 12 39 1 17 20 28,52 7 8 5 44 45 52 2 41 14,0,2,1
1 18 7 24 44 35 3 15 12 0,4 52 37 19 49 23 5 11 8 50,22,0,2,0,3,1 18 24 35 12 0 25 20 19 21,52 49 23 37 11 50 4 5 52 13,2,1,0
17 42 16 11 13 38 41 12 48 14,46 20 25 27 50 34 8 32 39 1,35,0,60,0,4,17 16 11 41 12 48 14 15 2 28,46 20 25 27 50 34 8 32 39 1,1,1,1
26 12 19 25 2 23 9 1 51 27,41 29 20 48 18 3 47 31 0 21,16,21,0,1,5,26 12 25 2 1 51 27 4 32 38,29 48 47 18 20 21 19 3 31 33,1,2,0
47 45 48 36 9 43 50 23 7 33,52 0 14 3 4 22 10 8 37 29,40,60,0,1,3,47 45 48 36 9 23 7 33 20 39,52 10 8 3 4 5 2 14 29 42,1,1,1
