init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
39 4 6 45 23 5 47 30 26 41,27 11 33 31 20 28 52 51 12 32,44,25,0,1,4,5 4 6 7 39 26 14 41 30 45,11 31 12 52 27 28 33 32 35 34,1,2,0
43 3 19 15 21 24 35 25 12 8,14 29 31 50 2 11 6 46 41 20,28,0,2,0,11,15 43 4 25 52 13 24 21 22 23,50 2 11 41 27 29 46 20 33 39,1,1,1
46 44 27 7 3 4 2 13 19 50,21 40 49 39 52 32 11 14 10 47,16,0,5,0,5,3 4 2 46 44 45 43 42 27 38,40 39 41 10 11 12 52 8 26 14,2,1,0
29 34 12 33 38 46 17 5 36 26,25 52 15 10 20 41 31 37 9 11,42,0,8,0,12,29 34 33 5 7 8 6 36 3 23,52 37 35 10 9 11 12 39 27 1,1,1,1
6 39 43 13 20 30 5 10 16 49,19 3 21 31 25 17 26 28 18 42,23,0,31,0,8,6 5 10 39 13 0 20 33 7 49,19 17 18 26 14 28 3 42 30 43,0,1,2
26 52 52 16 19 30 2 32 27 17,51 24 13 49 15 47 29 45 41 4,20,0,45,0,4,52 30 32 26 52 27 16 19 17 46,13 15 14 39 41 29 4 45 51 24,0,3,0
47 26 6 11 21 51 52 28 41 44,27 14 39 1 43 16 8 0 2 35,22,0,8,0,5,52 6 19 48 26 28 29 47 21 34,35 51 25 1 0 2 3 39 27 14,0,1,2
2 30 26 52 34 19 0 4 31 50,16 22 44 18 9 24 3 29 35 7,27,4,0,1,9,30 4 17 0 26 39 52 12 25 2,16 3 29 22 9 35 48 28 15 41,0,0,3
24 45 49 51 32 0 3 23 35 48,1 21 4 28 40 8 7 50 13 18,25,0,2,0,12,45 32 19 24 51 23 21 20 38 12,1 40 14 7 8 9 52 42 3 13,0,2,1
0 29 38 22 32 16 14 11 2 48,33 19 12 13 40 28 49 44 7 9,6,28,0,1,5,22 32 48 0 14 40 2 29 16 4,9 10 11 19 12 38 33 7 46 52,1,0,2
3 46 33 52 47 2 52 19 8 31,1 48 9 20 36 16 32 15 21 13,34,0,41,0,1,46 33 52 3 47 2 52 31 44 8,1 48 9 20 36 16 32 15 21 13,0,1,2
42 16 27 52 4 44 35 20 21 45,19 12 48 40 52 46 50 29 24 14,38,35,0,1,2,42 52 44 45 39 27 16 4 20 35,12 48 46 52 40 14 50 24 11 51,0,1,2
10 39 8 52 45 30 43 6 14 44,19 3 52 4 24 31 34 2 36 26,17,0,2,0,4,8 52 6 10 9 45 30 44 43 48,3 52 2 34 36 35 4 14 15 26,0,2,0
25 24 6 37 29 46 52 34 42 10,16 1 3 44 48 39 19 26 32 41,30,0,2,0,7,52 42 44 37 36 35 25 24 23 4,39 41 40 17 16 3 19 32 6 26,2,1,0
27 42 22 37 14 52 8 34 20 49,31 35 13 6 46 16 41 28 26 19,43,0,28,0,6,52 8 34 20 22 21 27 14 40 52,41 28 15 13 26 0 16 31 6 19,1,0,2
7 50 19 0 10 29 28 4 26 41,37 18 24 11 3 1 38 22 30 23,17,0,23,0,7,29 4 16 26 0 39 28 41 2 52,37 24 11 22 30 23 1 3 18 19,0,0,3
25 29 10 32 14 22 39 11 36 6,51 52 33 27 16 18 38 28 50 4,8,32,0,1,9,10 36 49 23 39 14 29 30 32 6,51 52 38 18 5 47 27 28 26 52,1,0,2
