init.score1,init.score2,Strategy 1,Strategy 2,P1 Score,P2 Score,Winner_ID
59,60,mcts-0,Mindist + Opp,14,0,1
52,54,mcts-0,Mindist + Opp,4,0,1
58,29,mcts-0,Mindist + Opp,41,0,1
34,48,mcts-0,Mindist + Opp,31,0,1
21,31,mcts-0,Mindist + Opp,20,0,1
54,52,mcts-0,Mindist + Opp,17,0,1
53,12,mcts-0,Mindist + Opp,17,0,1
45,50,mcts-0,Mindist + Opp,33,0,1
47,6,mcts-0,Mindist + Opp,39,0,1
22,27,mcts-0,Mindist + Opp,2,0,1
50,44,mcts-0,Mindist + Opp,0,25,0
60,54,mcts-0,Mindist + Opp,12,0,1
39,53,mcts-0,Mindist + Opp,0,51,0
18,27,mcts-0,Mindist + Opp,35,0,1
60,21,mcts-0,Mindist + Opp,55,0,1
25,39,mcts-0,Mindist + Opp,60,0,1
0,39,mcts-0,Mindist + Opp,0,22,0
60,29,mcts-0,Mindist + Opp,43,0,1
30,27,mcts-0,Mindist + Opp,19,0,1
39,43,mcts-0,Mindist + Opp,29,0,1
28,60,mcts-0,Mindist + Opp,23,0,1
60,20,mcts-0,Mindist + Opp,41,0,1
40,60,mcts-0,Mindist + Opp,2,0,1
41,30,mcts-0,Mindist + Opp,0,12,0
60,37,mcts-0,Mindist + Opp,15,0,1
17,25,mcts-0,Mindist + Opp,0,3,0
49,24,mcts-0,Mindist + Opp,19,0,1
18,60,mcts-0,Mindist + Opp,0,60,0
23,60,mcts-0,Mindist + Opp,20,0,1
47,20,mcts-0,Mindist + Opp,43,0,1
37,31,mcts-0,Mindist + Opp,8,0,1
13,39,mcts-0,Mindist + Opp,0,17,0
39,22,mcts-0,Mindist + Opp,41,0,1
31,56,mcts-0,Mindist + Opp,0,26,0
24,45,mcts-0,Mindist + Opp,26,0,1
45,43,mcts-0,Mindist + Opp,45,0,1
60,46,mcts-0,Mindist + Opp,60,0,1
48,26,mcts-0,Mindist + Opp,30,0,1
60,36,mcts-0,Mindist + Opp,23,0,1
54,28,mcts-0,Mindist + Opp,4,0,1
51,41,mcts-0,Mindist + Opp,3,0,1
