init.score1,init.score2,Strategy 1,Strategy 2,P1 Score,P2 Score,Winner_ID
60,60,mcts-0,mcts-25,60,0,1
44,20,mcts-0,mcts-25,0,6,0
31,22,mcts-0,mcts-25,0,27,0
51,36,mcts-0,mcts-25,12,0,1
48,30,mcts-0,mcts-25,49,0,1
21,60,mcts-0,mcts-25,0,60,0
29,42,mcts-0,mcts-25,0,12,0
42,49,mcts-0,mcts-25,10,0,1
25,47,mcts-0,mcts-25,34,0,1
53,18,mcts-0,mcts-25,60,0,1
49,22,mcts-0,mcts-25,46,0,1
41,36,mcts-0,mcts-25,4,0,1
34,27,mcts-0,mcts-25,0,60,0
60,45,mcts-0,mcts-25,6,0,1
25,27,mcts-0,mcts-25,2,0,1
16,35,mcts-0,mcts-25,28,0,1
27,60,mcts-0,mcts-25,0,4,0
48,4,mcts-0,mcts-25,60,0,1
32,60,mcts-0,mcts-25,27,0,1
60,31,mcts-0,mcts-25,9,20,0
51,22,mcts-0,mcts-25,0,41,0
47,60,mcts-0,mcts-25,0,49,0
25,47,mcts-0,mcts-25,0,8,0
23,23,mcts-0,mcts-25,2,0,1
47,60,mcts-0,mcts-25,7,0,1
30,46,mcts-0,mcts-25,27,2,1
45,60,mcts-0,mcts-25,0,54,0
60,46,mcts-0,mcts-25,11,0,1
46,39,mcts-0,mcts-25,0,5,0
51,10,mcts-0,mcts-25,6,0,1
45,60,mcts-0,mcts-25,0,16,0
56,44,mcts-0,mcts-25,0,42,0
27,56,mcts-0,mcts-25,23,14,1
20,60,mcts-0,mcts-25,29,0,1
53,32,mcts-0,mcts-25,17,15,1
42,43,mcts-0,mcts-25,19,23,0
46,52,mcts-0,mcts-25,31,0,1
29,53,mcts-0,mcts-25,0,60,0
28,45,mcts-0,mcts-25,0,47,0
26,60,mcts-0,mcts-25,39,7,1
30,48,mcts-0,mcts-25,0,15,0
28,28,mcts-0,mcts-25,0,43,0
49,44,mcts-0,mcts-25,27,0,1
30,60,mcts-0,mcts-25,0,37,0
37,24,mcts-0,mcts-25,2,0,1
20,60,mcts-0,mcts-25,0,60,0
43,17,mcts-0,mcts-25,0,7,0
60,21,mcts-0,mcts-25,11,0,1
55,48,mcts-0,mcts-25,0,45,0
53,26,mcts-0,mcts-25,3,53,0
50,60,mcts-0,mcts-25,0,10,0
40,60,mcts-0,mcts-25,0,60,0
29,60,mcts-0,mcts-25,0,60,0
43,50,mcts-0,mcts-25,0,35,0
23,57,mcts-0,mcts-25,0,57,0
21,44,mcts-0,mcts-25,29,0,1
41,42,mcts-0,mcts-25,13,0,1
60,24,mcts-0,mcts-25,57,0,1
38,21,mcts-0,mcts-25,11,0,1
44,60,mcts-0,mcts-25,0,2,0
52,0,mcts-0,mcts-25,14,0,1
60,60,mcts-0,mcts-25,0,18,0
42,60,mcts-0,mcts-25,10,0,1
40,22,mcts-0,mcts-25,4,0,1
23,47,mcts-0,mcts-25,0,4,0
36,41,mcts-0,mcts-25,0,3,0
60,38,mcts-0,mcts-25,60,0,1
26,25,mcts-0,mcts-25,2,2,1
60,56,mcts-0,mcts-25,0,44,0
27,42,mcts-0,mcts-25,20,0,1
55,37,mcts-0,mcts-25,16,0,1
60,8,mcts-0,mcts-25,18,0,1
29,56,mcts-0,mcts-25,9,0,1
45,48,mcts-0,mcts-25,34,0,1
24,34,mcts-0,mcts-25,3,0,1
32,60,mcts-0,mcts-25,0,4,0
46,47,mcts-0,mcts-25,0,34,0
51,43,mcts-0,mcts-25,60,0,1
60,34,mcts-0,mcts-25,0,20,0
49,58,mcts-0,mcts-25,7,0,1
18,42,mcts-0,mcts-25,6,0,1
46,19,mcts-0,mcts-25,24,0,1
29,45,mcts-0,mcts-25,7,0,1
42,20,mcts-0,mcts-25,42,0,1
60,60,mcts-0,mcts-25,60,0,1
17,18,mcts-0,mcts-25,8,0,1
26,50,mcts-0,mcts-25,0,60,0
24,25,mcts-0,mcts-25,2,0,1
37,60,mcts-0,mcts-25,0,19,0
45,34,mcts-0,mcts-25,23,0,1
60,60,mcts-0,mcts-25,0,60,0
60,44,mcts-0,mcts-25,6,9,0
58,46,mcts-0,mcts-25,60,0,1
49,60,mcts-0,mcts-25,0,29,0
42,26,mcts-0,mcts-25,0,5,0
9,41,mcts-0,mcts-25,0,44,0
33,60,mcts-0,mcts-25,0,60,0
60,52,mcts-0,mcts-25,0,17,0
19,31,mcts-0,mcts-25,0,2,0
49,24,mcts-0,mcts-25,0,49,0
60,27,mcts-0,mcts-25,60,0,1
11,37,mcts-0,mcts-25,21,0,1
42,5,mcts-0,mcts-25,2,0,1
26,48,mcts-0,mcts-25,0,60,0
26,32,mcts-0,mcts-25,0,60,0
34,60,mcts-0,mcts-25,0,35,0
60,40,mcts-0,mcts-25,9,27,0
21,47,mcts-0,mcts-25,0,24,0
48,60,mcts-0,mcts-25,0,42,0
60,60,mcts-0,mcts-25,52,60,0
33,49,mcts-0,mcts-25,33,0,1
27,30,mcts-0,mcts-25,0,9,0
60,23,mcts-0,mcts-25,60,0,1
60,21,mcts-0,mcts-25,60,0,1
15,53,mcts-0,mcts-25,0,23,0
19,60,mcts-0,mcts-25,0,9,0
60,60,mcts-0,mcts-25,0,12,0
29,60,mcts-0,mcts-25,0,58,0
30,27,mcts-0,mcts-25,0,4,0
40,52,mcts-0,mcts-25,3,0,1
22,60,mcts-0,mcts-25,0,3,0
41,15,mcts-0,mcts-25,12,0,1
28,30,mcts-0,mcts-25,60,0,1
40,60,mcts-0,mcts-25,0,17,0
9,60,mcts-0,mcts-25,0,60,0
12,60,mcts-0,mcts-25,0,52,0
60,53,mcts-0,mcts-25,60,60,0
48,30,mcts-0,mcts-25,20,2,1
33,51,mcts-0,mcts-25,0,5,0
20,60,mcts-0,mcts-25,0,34,0
30,37,mcts-0,mcts-25,0,44,0
41,29,mcts-0,mcts-25,48,0,1
17,42,mcts-0,mcts-25,0,2,0
37,18,mcts-0,mcts-25,0,2,0
60,30,mcts-0,mcts-25,22,0,1
38,42,mcts-0,mcts-25,36,0,1
52,52,mcts-0,mcts-25,0,7,0
45,51,mcts-0,mcts-25,14,0,1
46,51,mcts-0,mcts-25,0,60,0
31,60,mcts-0,mcts-25,0,60,0
46,46,mcts-0,mcts-25,2,0,1
44,55,mcts-0,mcts-25,14,0,1
22,48,mcts-0,mcts-25,0,7,0
60,55,mcts-0,mcts-25,0,60,0
27,12,mcts-0,mcts-25,36,0,1
18,33,mcts-0,mcts-25,27,0,1
56,40,mcts-0,mcts-25,0,2,0
21,58,mcts-0,mcts-25,0,60,0
20,37,mcts-0,mcts-25,0,60,0
34,58,mcts-0,mcts-25,0,5,0
10,60,mcts-0,mcts-25,0,21,0
42,47,mcts-0,mcts-25,0,25,0
47,42,mcts-0,mcts-25,0,3,0
48,27,mcts-0,mcts-25,0,2,0
60,29,mcts-0,mcts-25,15,0,1
20,51,mcts-0,mcts-25,0,60,0
12,37,mcts-0,mcts-25,0,37,0
44,60,mcts-0,mcts-25,5,0,1
23,47,mcts-0,mcts-25,2,0,1
49,60,mcts-0,mcts-25,0,11,0
60,0,mcts-0,mcts-25,0,0,0
26,60,mcts-0,mcts-25,0,7,0
39,60,mcts-0,mcts-25,0,9,0
60,43,mcts-0,mcts-25,21,0,1
23,54,mcts-0,mcts-25,0,60,0
45,45,mcts-0,mcts-25,0,38,0
22,30,mcts-0,mcts-25,28,0,1
60,60,mcts-0,mcts-25,0,32,0
60,42,mcts-0,mcts-25,0,12,0
52,29,mcts-0,mcts-25,19,0,1
33,60,mcts-0,mcts-25,0,13,0
60,40,mcts-0,mcts-25,60,0,1
60,15,mcts-0,mcts-25,0,31,0
46,49,mcts-0,mcts-25,2,2,0
47,24,mcts-0,mcts-25,36,0,1
45,24,mcts-0,mcts-25,0,60,0
44,47,mcts-0,mcts-25,0,45,0
23,32,mcts-0,mcts-25,0,7,0
32,60,mcts-0,mcts-25,8,0,1
20,52,mcts-0,mcts-25,0,24,0
5,18,mcts-0,mcts-25,0,5,0
26,21,mcts-0,mcts-25,0,60,0
59,19,mcts-0,mcts-25,0,39,0
25,51,mcts-0,mcts-25,0,9,0
36,22,mcts-0,mcts-25,4,0,1
53,51,mcts-0,mcts-25,0,2,0
54,60,mcts-0,mcts-25,0,60,0
60,13,mcts-0,mcts-25,0,48,0
2,26,mcts-0,mcts-25,0,49,0
36,37,mcts-0,mcts-25,17,0,1
47,60,mcts-0,mcts-25,26,30,0
26,60,mcts-0,mcts-25,0,51,0
49,38,mcts-0,mcts-25,37,0,1
60,50,mcts-0,mcts-25,2,0,1
20,56,mcts-0,mcts-25,0,60,0
5,60,mcts-0,mcts-25,47,0,1
10,44,mcts-0,mcts-25,0,49,0
31,6,mcts-0,mcts-25,8,0,1
34,48,mcts-0,mcts-25,0,37,0
47,18,mcts-0,mcts-25,10,0,1
60,23,mcts-0,mcts-25,60,0,1
42,43,mcts-0,mcts-25,0,11,0
45,53,mcts-0,mcts-25,24,17,1
44,60,mcts-0,mcts-25,21,0,1
21,46,mcts-0,mcts-25,13,0,1
38,49,mcts-0,mcts-25,0,60,0
5,60,mcts-0,mcts-25,0,60,0
60,60,mcts-0,mcts-25,3,4,0
49,23,mcts-0,mcts-25,23,0,1
60,44,mcts-0,mcts-25,60,0,1
60,60,mcts-0,mcts-25,19,22,0
60,51,mcts-0,mcts-25,0,23,0
18,53,mcts-0,mcts-25,0,60,0
24,60,mcts-0,mcts-25,0,18,0
60,10,mcts-0,mcts-25,49,0,1
20,19,mcts-0,mcts-25,0,13,0
53,52,mcts-0,mcts-25,3,0,1
45,34,mcts-0,mcts-25,60,13,1
56,60,mcts-0,mcts-25,0,50,0
28,60,mcts-0,mcts-25,17,2,1
60,60,mcts-0,mcts-25,60,0,1
60,45,mcts-0,mcts-25,60,0,1
45,25,mcts-0,mcts-25,58,0,1
20,45,mcts-0,mcts-25,32,0,1
60,35,mcts-0,mcts-25,30,0,1
27,31,mcts-0,mcts-25,0,55,0
60,35,mcts-0,mcts-25,60,0,1
42,39,mcts-0,mcts-25,0,2,0
30,36,mcts-0,mcts-25,3,0,1
42,37,mcts-0,mcts-25,47,0,1
26,48,mcts-0,mcts-25,0,60,0
34,17,mcts-0,mcts-25,3,0,1
33,50,mcts-0,mcts-25,3,0,1
43,54,mcts-0,mcts-25,0,60,0
31,42,mcts-0,mcts-25,19,0,1
48,23,mcts-0,mcts-25,60,0,1
41,60,mcts-0,mcts-25,0,21,0
13,33,mcts-0,mcts-25,0,11,0
30,35,mcts-0,mcts-25,2,0,1
35,54,mcts-0,mcts-25,6,0,1
60,0,mcts-0,mcts-25,29,0,1
44,60,mcts-0,mcts-25,2,0,1
28,21,mcts-0,mcts-25,0,2,0
19,60,mcts-0,mcts-25,0,60,0
60,60,mcts-0,mcts-25,2,0,1
47,60,mcts-0,mcts-25,0,7,0
47,60,mcts-0,mcts-25,60,0,1
49,15,mcts-0,mcts-25,25,0,1
60,46,mcts-0,mcts-25,13,0,1
25,60,mcts-0,mcts-25,0,60,0
60,25,mcts-0,mcts-25,0,2,0
32,60,mcts-0,mcts-25,0,9,0
28,50,mcts-0,mcts-25,0,28,0
49,17,mcts-0,mcts-25,10,0,1
60,60,mcts-0,mcts-25,49,0,1
37,27,mcts-0,mcts-25,43,0,1
60,50,mcts-0,mcts-25,60,0,1
32,57,mcts-0,mcts-25,2,0,1
24,60,mcts-0,mcts-25,0,60,0
27,52,mcts-0,mcts-25,0,2,0
43,35,mcts-0,mcts-25,32,0,1
19,57,mcts-0,mcts-25,0,42,0
55,23,mcts-0,mcts-25,32,0,1
23,43,mcts-0,mcts-25,0,25,0
42,46,mcts-0,mcts-25,15,0,1
31,53,mcts-0,mcts-25,2,0,1
21,60,mcts-0,mcts-25,0,28,0
20,41,mcts-0,mcts-25,0,10,0
46,37,mcts-0,mcts-25,12,0,1
35,13,mcts-0,mcts-25,6,0,1
46,43,mcts-0,mcts-25,2,0,1
60,20,mcts-0,mcts-25,60,0,1
