"","...1","Strategy 1","Strategy 2","P1 Score","P2 Score","Winner_ID","P1_rating","P2_rating","Avg Change in Ratings","Avg Change in Ratings without score modifications"
"4824",293,"MCTS-0","MCTS-25",56,0,1,957,1005,8,5
"4825",2880,"MCTS-25","MCTS-0",13,0,1,1003,959,2,6
"4826",5957,"MCTS-50","MCTS-25",0,9,0,1014,1002,1,5
"4827",1817,"MCTS-0","MCTS-50",60,0,1,951,1022,8,4
"4828",3044,"MCTS-25","MCTS-50",60,0,1,993,1031,9,5
"4829",1548,"MCTS-0","MCTS-50",0,60,0,963,1019,12,6
"4830",162,"MCTS-0","MCTS-25",0,2,0,963,993,0,5
"4831",2464,"MCTS-25","MCTS-0",0,60,0,1002,954,9,5
"4832",1917,"MCTS-0","MCTS-50",0,44,0,963,1010,9,6
"4833",211,"MCTS-0","MCTS-25",37,0,1,958,1007,5,4
"4834",43,"MCTS-0","MCTS-25",0,44,0,966,999,8,6
"4835",4351,"MCTS-50","MCTS-0",36,0,1,1003,973,7,6
"4836",1647,"MCTS-0","MCTS-50",24,0,1,969,1007,4,5
"4837",1181,"MCTS-0","MCTS-50",0,55,0,979,997,10,6
"4838",5010,"MCTS-50","MCTS-25",0,60,0,1007,989,10,5
"4839",5392,"MCTS-50","MCTS-25",60,60,1,1007,989,0,5
"4840",5244,"MCTS-50","MCTS-25",2,0,1,1007,989,0,5
"4841",337,"MCTS-0","MCTS-25",0,4,0,980,988,1,5
"4842",3867,"MCTS-25","MCTS-50",0,9,0,990,1005,2,5
"4843",4534,"MCTS-50","MCTS-0",11,0,1,1003,982,2,5
"4844",2562,"MCTS-25","MCTS-0",22,0,1,986,986,4,5
"4845",1397,"MCTS-0","MCTS-50",0,12,0,988,1001,2,5
"4846",800,"MCTS-0","MCTS-25",24,0,1,984,990,4,5
"4847",2138,"MCTS-25","MCTS-0",11,0,1,988,986,2,5
"4848",313,"MCTS-0","MCTS-25",58,0,1,976,998,10,5
"4849",5337,"MCTS-50","MCTS-25",0,24,0,1005,994,4,5
"4850",2383,"MCTS-25","MCTS-0",4,0,1,993,977,1,5
"4851",5537,"MCTS-50","MCTS-25",0,41,0,1012,986,7,5
"4852",3521,"MCTS-25","MCTS-50",33,0,1,981,1017,5,5
"4853",1012,"MCTS-0","MCTS-50",0,10,0,979,1015,2,6
"4854",2895,"MCTS-25","MCTS-0",0,4,0,982,978,1,5
"4855",5953,"MCTS-50","MCTS-25",3,0,1,1014,983,1,5
"4856",3715,"MCTS-25","MCTS-50",0,13,0,985,1012,2,5
"4857",114,"MCTS-0","MCTS-25",0,35,0,984,979,6,5
"4858",2618,"MCTS-25","MCTS-0",0,20,0,982,981,3,5
"4859",4503,"MCTS-50","MCTS-0",45,60,0,1014,979,2,5
"4860",5493,"MCTS-50","MCTS-25",0,60,0,1023,973,9,5
"4861",853,"MCTS-0","MCTS-25",6,0,1,978,974,1,5
"4862",3248,"MCTS-25","MCTS-50",39,0,1,968,1029,6,4
"4863",3014,"MCTS-25","MCTS-50",42,0,1,962,1035,6,4
"4864",5764,"MCTS-50","MCTS-25",0,60,0,1043,954,8,4
"4865",837,"MCTS-0","MCTS-25",38,0,1,971,961,7,5
"4866",3285,"MCTS-25","MCTS-50",7,0,1,960,1044,1,4
"4867",3896,"MCTS-25","MCTS-50",2,0,1,960,1044,0,4
"4868",295,"MCTS-0","MCTS-25",18,0,1,968,963,3,5
"4869",3186,"MCTS-25","MCTS-50",0,60,0,975,1032,12,6
"4870",117,"MCTS-0","MCTS-25",0,60,0,978,965,10,5
"4871",1846,"MCTS-0","MCTS-50",38,0,1,973,1037,5,4
"4872",5182,"MCTS-50","MCTS-25",0,60,0,1045,957,8,4
"4873",771,"MCTS-0","MCTS-25",0,39,0,979,951,6,5
"4874",3507,"MCTS-25","MCTS-50",6,0,1,950,1046,1,4
"4875",2281,"MCTS-25","MCTS-0",60,0,1,941,988,9,5
"4876",5051,"MCTS-50","MCTS-25",0,60,0,1053,934,7,4
"4877",2795,"MCTS-25","MCTS-0",60,0,1,926,996,8,4
"4878",647,"MCTS-0","MCTS-25",16,0,1,993,929,3,6
"4879",3419,"MCTS-25","MCTS-50",54,0,1,923,1059,6,3
"4880",1772,"MCTS-0","MCTS-50",0,12,0,995,1057,2,6
"4881",895,"MCTS-0","MCTS-25",0,0,0,995,923,0,4
"4882",450,"MCTS-0","MCTS-25",60,0,1,983,935,12,6
"4883",1848,"MCTS-0","MCTS-50",0,12,0,985,1055,2,6
"4884",1247,"MCTS-0","MCTS-50",0,19,0,989,1051,4,6
"4885",48,"MCTS-0","MCTS-25",0,60,0,997,927,8,4
"4886",2734,"MCTS-25","MCTS-0",60,0,1,919,1005,8,4
"4887",1670,"MCTS-0","MCTS-50",0,60,0,1016,1040,11,6
"4888",4526,"MCTS-50","MCTS-0",25,0,1,1036,1020,4,5
"4889",5372,"MCTS-50","MCTS-25",0,24,0,1039,916,3,3
"4890",3921,"MCTS-25","MCTS-50",0,60,0,929,1026,13,7
"4891",2656,"MCTS-25","MCTS-0",0,60,0,942,1007,13,6
"4892",2772,"MCTS-25","MCTS-0",0,36,0,949,1000,7,6
"4893",2205,"MCTS-25","MCTS-0",60,60,0,949,1000,0,6
"4894",873,"MCTS-0","MCTS-25",0,3,0,1000,949,0,4
"4895",4984,"MCTS-50","MCTS-0",0,38,0,1032,994,6,5
"4896",2728,"MCTS-25","MCTS-0",39,0,1,943,1000,6,4
"4897",3751,"MCTS-25","MCTS-50",0,60,0,956,1019,13,6
"4898",3341,"MCTS-25","MCTS-50",0,21,0,960,1015,4,6
"4899",2910,"MCTS-25","MCTS-0",8,0,1,959,1001,1,4
"4900",5277,"MCTS-50","MCTS-25",0,2,0,1015,959,0,4
"4901",2401,"MCTS-25","MCTS-0",0,14,0,962,998,3,6
"4902",4021,"MCTS-50","MCTS-0",0,8,0,1016,997,1,5
"4903",3879,"MCTS-25","MCTS-50",0,16,0,965,1013,3,6
"4904",3126,"MCTS-25","MCTS-50",0,51,0,975,1003,10,6
"4905",4205,"MCTS-50","MCTS-0",0,52,0,1012,988,9,5
"4906",1170,"MCTS-0","MCTS-50",0,14,0,990,1010,2,5
"4907",4230,"MCTS-50","MCTS-0",29,0,1,1005,995,5,5
"4908",5965,"MCTS-50","MCTS-25",2,0,1,1005,975,0,5
"4909",169,"MCTS-0","MCTS-25",0,37,0,1001,969,6,5
"4910",4073,"MCTS-50","MCTS-0",2,0,1,1005,1001,0,5
"4911",5081,"MCTS-50","MCTS-25",0,60,0,1014,960,9,4
