"","X","Strategy.1","Strategy.2","P1.Score","P2.Score","Winner_ID","P1_rating","P2_rating","Avg Change in Ratings","Avg Change in Ratings without score modifications"
"3307",3307,"Mindist+Opp","MCTS-10",3,0,1,1139,923,1,8
"677",677,"MCTS-10","Mindist+Opp",28,0,1,921,1141,2,2
"5877",5877,"Mindist+Opp","MCTS-50",4,0,1,1140,934,1,8
"5040",5040,"Mindist+Opp","MCTS-50",25,0,1,1134,940,6,8
"4869",4869,"Mindist+Opp","MCTS-25",28,0,1,1128,1003,6,7
"797",797,"MCTS-10","Mindist+Opp",0,2,0,922,1127,1,8
"5899",5899,"Mindist+Opp","MCTS-50",0,28,0,1129,938,2,3
"1154",1154,"MCTS-25","Mindist+Opp",0,34,0,1011,1121,8,7
"1605",1605,"MCTS-25","Mindist+Opp",32,0,1,1007,1125,4,3
"594",594,"MCTS-10","Mindist+Opp",23,0,1,920,1127,2,2
"4835",4835,"Mindist+Opp","MCTS-25",3,0,1,1126,1008,1,7
"1680",1680,"MCTS-25","Mindist+Opp",60,0,1,1001,1133,7,3
"5433",5433,"Mindist+Opp","MCTS-50",0,2,0,1133,938,0,2
"5330",5330,"Mindist+Opp","MCTS-50",0,23,0,1135,936,2,2
