"","Strategy 1","Strategy 2","P1 Score","P2 Score","Winner_ID"
"372","MCTS-10","Mindist+Opp",4,0,1
"373","MCTS-10","Mindist+Opp",0,20,0
"374","MCTS-10","Mindist+Opp",0,26,0
"375","MCTS-10","Mindist+Opp",28,0,1
"376","MCTS-10","Mindist+Opp",18,0,1
"377","MCTS-10","Mindist+Opp",28,0,1
"378","MCTS-10","Mindist+Opp",28,0,1
"379","MCTS-10","Mindist+Opp",2,0,1
"380","MCTS-10","Mindist+Opp",26,0,1
"381","MCTS-10","Mindist+Opp",9,0,1
"382","MCTS-10","Mindist+Opp",4,0,1
"383","MCTS-10","Mindist+Opp",0,4,0
"384","MCTS-10","Mindist+Opp",35,0,1
"385","MCTS-10","Mindist+Opp",2,0,1
"386","MCTS-10","Mindist+Opp",43,0,1
"387","MCTS-10","Mindist+Opp",33,0,1
"388","MCTS-10","Mindist+Opp",21,0,1
"389","MCTS-10","Mindist+Opp",50,0,1
"390","MCTS-10","Mindist+Opp",0,21,0
"391","MCTS-10","Mindist+Opp",9,0,1
"392","MCTS-10","Mindist+Opp",3,0,1
"393","MCTS-10","Mindist+Opp",0,28,0
"394","MCTS-10","Mindist+Opp",30,0,1
"395","MCTS-10","Mindist+Opp",10,0,1
"396","MCTS-10","Mindist+Opp",30,0,1
"397","MCTS-10","Mindist+Opp",50,0,1
"398","MCTS-10","Mindist+Opp",25,0,1
"399","MCTS-10","Mindist+Opp",0,57,0
"400","MCTS-10","Mindist+Opp",17,0,1
"401","MCTS-10","Mindist+Opp",0,27,0
"402","MCTS-10","Mindist+Opp",29,0,1
"403","MCTS-10","Mindist+Opp",60,0,1
"404","MCTS-10","Mindist+Opp",0,10,0
"405","MCTS-10","Mindist+Opp",47,0,1
"406","MCTS-10","Mindist+Opp",0,60,0
"407","MCTS-10","Mindist+Opp",2,0,1
"408","MCTS-10","Mindist+Opp",2,0,1
"409","MCTS-10","Mindist+Opp",47,0,1
"410","MCTS-10","Mindist+Opp",0,20,0
"411","MCTS-10","Mindist+Opp",25,0,1
"412","MCTS-10","Mindist+Opp",38,0,1
"413","MCTS-10","Mindist+Opp",2,0,1
"414","MCTS-10","Mindist+Opp",4,0,1
"415","MCTS-10","Mindist+Opp",12,0,1
"416","MCTS-10","Mindist+Opp",0,6,0
"417","MCTS-10","Mindist+Opp",38,0,1
"418","MCTS-10","Mindist+Opp",20,0,1
"419","MCTS-10","Mindist+Opp",12,0,1
"420","MCTS-10","Mindist+Opp",8,0,1
"421","MCTS-10","Mindist+Opp",60,0,1
"422","MCTS-10","Mindist+Opp",20,0,1
"423","MCTS-10","Mindist+Opp",58,0,1
"424","MCTS-10","Mindist+Opp",29,0,1
"425","MCTS-10","Mindist+Opp",0,27,0
"426","MCTS-10","Mindist+Opp",0,22,0
"427","MCTS-10","Mindist+Opp",0,20,0
"428","MCTS-10","Mindist+Opp",39,0,1
"429","MCTS-10","Mindist+Opp",0,39,0
"430","MCTS-10","Mindist+Opp",26,0,1
"431","MCTS-10","Mindist+Opp",12,0,1
"432","MCTS-10","Mindist+Opp",25,0,1
"433","MCTS-10","Mindist+Opp",3,0,1
"434","MCTS-10","Mindist+Opp",23,0,1
"435","MCTS-10","Mindist+Opp",0,32,0
"436","MCTS-10","Mindist+Opp",0,60,0
"437","MCTS-10","Mindist+Opp",0,34,0
"438","MCTS-10","Mindist+Opp",0,10,0
"439","MCTS-10","Mindist+Opp",0,47,0
"440","MCTS-10","Mindist+Opp",0,16,0
"441","MCTS-10","Mindist+Opp",13,0,1
"442","MCTS-10","Mindist+Opp",0,48,0
"443","MCTS-10","Mindist+Opp",12,0,1
"444","MCTS-10","Mindist+Opp",38,0,1
"445","MCTS-10","Mindist+Opp",0,60,0
"446","MCTS-10","Mindist+Opp",7,0,1
"447","MCTS-10","Mindist+Opp",16,0,1
"448","MCTS-10","Mindist+Opp",60,0,1
"449","MCTS-10","Mindist+Opp",0,26,0
"450","MCTS-10","Mindist+Opp",14,0,1
"451","MCTS-10","Mindist+Opp",60,0,1
"452","MCTS-10","Mindist+Opp",15,0,1
"453","MCTS-10","Mindist+Opp",60,0,1
"454","MCTS-10","Mindist+Opp",0,16,0
"455","MCTS-10","Mindist+Opp",60,0,1
"456","MCTS-10","Mindist+Opp",60,0,1
"457","MCTS-10","Mindist+Opp",43,0,1
"458","MCTS-10","Mindist+Opp",44,0,1
"459","MCTS-10","Mindist+Opp",0,53,0
"460","MCTS-10","Mindist+Opp",48,0,1
"461","MCTS-10","Mindist+Opp",10,0,1
"462","MCTS-10","Mindist+Opp",19,0,1
